%time,field.data
1520814052069349530,47
1520814052143893367,47
1520814052217926265,47
1520814052291483839,47
1520814052367127870,47
1520814052440862850,47
1520814052514795645,47
1520814052589132185,47
1520814052647602171,47
1520814052708919471,47
1520814052767018888,47
1520814052842156331,47
1520814052915244536,47
1520814052989977408,47
1520814053063896951,47
1520814053139045797,47
1520814053212716251,47
1520814053286534342,47
1520814053359943312,47
1520814053436062754,47
1520814053509828356,47
1520814053583766327,47
1520814053658353116,47
1520814053732754542,47
1520814053806344566,47
1520814053880435039,47
1520814053939964215,47
1520814053998685616,47
1520814054058578774,47
1520814054132472773,47
1520814054207971134,47
1520814054281545289,47
1520814054355579373,47
1520814054429634332,47
1520814054503913778,47
1520814054578815270,47
1520814054652737132,47
1520814054726397960,47
1520814054801443250,47
1520814054875241902,47
1520814054949186662,47
1520814055023887904,47
1520814055097635478,47
1520814055172661415,47
1520814055246718313,47
1520814055305559996,47
1520814055365349890,47
1520814055439364390,47
1520814055513421956,47
1520814055588141995,47
1520814055661594338,47
1520814055735129612,47
1520814055810219043,47
1520814055885431235,47
1520814055959119669,47
1520814056032894759,47
1520814056106848034,47
1520814056182337306,47
1520814056256033984,47
1520814056329634974,47
1520814056403028209,47
1520814056476703049,47
1520814056538011075,47
1520814056596177148,47
1520814056657265468,47
1520814056730670433,47
1520814056804160643,47
1520814056879521905,47
1520814056952592108,47
1520814057028068283,47
1520814057101888294,47
1520814057175649480,47
1520814057250998307,47
1520814057324895882,47
1520814057398813020,47
1520814057472730653,47
1520814057547133418,47
1520814057621978098,47
1520814057696048005,47
1520814057769300837,47
1520814057828687027,47
1520814057888245468,47
1520814057947577810,47
1520814058021734691,47
1520814058097023033,47
1520814058171160659,47
1520814058244541760,47
1520814058319100516,47
1520814058393620469,47
1520814058467346076,47
1520814058541326673,47
1520814058615765629,47
1520814058688698089,47
1520814058764610066,47
1520814058838445617,47
1520814058912332774,47
1520814058987887596,47
1520814059061594714,47
1520814059120952587,47
1520814059180268105,47
1520814059239788951,47
1520814059313381214,47
1520814059387158331,47
1520814059462415424,47
1520814059536522679,47
1520814059610261098,47
1520814059684175731,47
1520814059758371823,47
1520814059833558785,47
1520814059907402319,47
1520814059981190807,47
1520814060055447487,47
1520814060130416118,47
1520814060204273467,47
1520814060277797296,47
1520814060351903277,47
1520814060411545414,47
1520814060471105259,47
1520814060529542675,47
1520814060604323274,47
1520814060678041713,47
1520814060751943471,47
1520814060826329847,47
1520814060899303952,47
1520814060975979415,47
1520814061050463886,47
1520814061124014186,47
1520814061199458234,47
1520814061272994019,47
1520814061347710703,47
1520814061420035901,47
1520814061494308369,47
1520814061570319753,47
1520814061644130201,47
1520814061703003834,47
1520814061762876825,47
1520814061822006674,47
1520814061896170823,47
1520814061969749880,47
1520814062045384565,47
1520814062119316652,47
1520814062193160659,47
1520814062266784173,47
1520814062342256722,47
1520814062416224018,47
1520814062489725256,47
1520814062564112126,47
1520814062636777228,47
1520814062712989217,47
1520814062786733140,47
1520814062860973413,47
1520814062936024468,47
1520814062993373260,47
1520814063054828639,47
1520814063112964490,47
1520814063188253680,47
1520814063262220923,47
1520814063336082032,47
1520814063411291992,47
1520814063484885600,47
1520814063558752028,47
1520814063632531105,47
1520814063705936507,47
1520814063781722039,47
1520814063855884300,47
1520814063929823758,47
1520814064003381624,47
1520814064079046138,47
1520814064152914796,47
1520814064226173511,47
1520814064285824075,47
1520814064345392159,47
1520814064404556870,47
1520814064479407823,47
1520814064553569949,47
1520814064627791373,47
1520814064701096065,47
1520814064775327720,47
1520814064848590486,47
1520814064924844098,47
1520814064998675114,47
1520814065072350066,47
1520814065147648921,47
1520814065221538213,47
1520814065295991610,47
1520814065369056428,47
1520814065443448389,47
1520814065518899402,47
1520814065577970746,47
1520814065637442816,47
1520814065696860613,47
1520814065769803798,47
1520814065844382336,47
1520814065918131586,47
1520814065993819732,47
1520814066067610510,47
1520814066141570087,47
1520814066215261895,47
1520814066290355315,47
1520814066364388592,47
1520814066437755087,47
1520814066511575546,47
1520814066587634910,47
1520814066661429667,47
1520814066735688651,47
1520814066808863895,47
1520814066868476104,47
1520814066927742206,47
1520814066987329251,47
1520814067060533573,47
1520814067136694031,47
1520814067210290314,47
1520814067284036994,47
1520814067359333820,47
1520814067432888729,47
1520814067507300769,47
1520814067581426397,47
1520814067654325030,47
1520814067730372221,47
1520814067804094289,47
1520814067878137088,47
1520814067951965919,47
1520814068027197766,47
